| TBD | 2.1/2.2 | EBT_01 | 201+470 | Estacion Base TETRA 01 | Derecha | PK201+470 Derecha | TELECOMUNICACIONES | TETRA BS | TBD | TIPO 5 | TBD | TBD |
| TBD | 2.1/2.2 | EBT_02 | 215+936 | Estacion Base TETRA 02 | Derecha | PK215+936 Derecha | TELECOMUNICACIONES | TETRA BS | TBD | TIPO 5 | TBD | TBD |
| TBD | 2.1/2.2 | EBT_03 | 230+402 | Estacion Base TETRA 03 | Derecha | PK230+402 Derecha | TELECOMUNICACIONES | TETRA BS | TBD | TIPO 5 | TBD | TBD |
| TBD | 2.1/2.2 | EBT_04 | 244+868 | Estacion Base TETRA 04 | Derecha | PK244+868 Derecha | TELECOMUNICACIONES | TETRA BS | TBD | TIPO 5 | TBD | TBD |
| TBD | 2.1/2.2 | EBT_05 | 259+334 | Estacion Base TETRA 05 | Derecha | PK259+334 Derecha | TELECOMUNICACIONES | TETRA BS | TBD | TIPO 5 | TBD | TBD |
| TBD | 2.1/2.2 | EBT_06 | 273+801 | Estacion Base TETRA 06 | Derecha | PK273+801 Derecha | TELECOMUNICACIONES | TETRA BS | TBD | TIPO 5 | TBD | TBD |
| TBD | 2.1/2.2 | EBT_07 | 288+267 | Estacion Base TETRA 07 | Derecha | PK288+267 Derecha | TELECOMUNICACIONES | TETRA BS | TBD | TIPO 5 | TBD | TBD |
| TBD | 2.1/2.2 | EBT_08 | 302+733 | Estacion Base TETRA 08 | Derecha | PK302+733 Derecha | TELECOMUNICACIONES | TETRA BS | TBD | TIPO 5 | TBD | TBD |
| TBD | 2.1/2.2 | EBT_09 | 317+199 | Estacion Base TETRA 09 | Derecha | PK317+199 Derecha | TELECOMUNICACIONES | TETRA BS | TBD | TIPO 5 | TBD | TBD |
| TBD | 2.1/2.2 | EBT_10 | 331+665 | Estacion Base TETRA 10 | Derecha | PK331+665 Derecha | TELECOMUNICACIONES | TETRA BS | TBD | TIPO 5 | TBD | TBD |
| TBD | 2.1/2.2 | EBT_11 | 346+131 | Estacion Base TETRA 11 | Derecha | PK346+131 Derecha | TELECOMUNICACIONES | TETRA BS | TBD | TIPO 5 | TBD | TBD |
| TBD | 2.1/2.2 | EBT_12 | 360+597 | Estacion Base TETRA 12 | Derecha | PK360+597 Derecha | TELECOMUNICACIONES | TETRA BS | TBD | TIPO 5 | TBD | TBD |
| TBD | 2.1/2.2 | EBT_13 | 375+63 | Estacion Base TETRA 13 | Derecha | PK375+63 Derecha | TELECOMUNICACIONES | TETRA BS | TBD | TIPO 5 | TBD | TBD |
| TBD | 2.1/2.2 | EBT_14 | 389+529 | Estacion Base TETRA 14 | Derecha | PK389+529 Derecha | TELECOMUNICACIONES | TETRA BS | TBD | TIPO 5 | TBD | TBD |
| TBD | 2.1/2.2 | EBT_15 | 403+996 | Estacion Base TETRA 15 | Derecha | PK403+996 Derecha | TELECOMUNICACIONES | TETRA BS | TBD | TIPO 5 | TBD | TBD |
| TBD | 2.1/2.2 | EBT_16 | 418+462 | Estacion Base TETRA 16 | Derecha | PK418+462 Derecha | TELECOMUNICACIONES | TETRA BS | TBD | TIPO 5 | TBD | TBD |
| TBD | 2.1/2.2 | EBT_17 | 432+928 | Estacion Base TETRA 17 | Derecha | PK432+928 Derecha | TELECOMUNICACIONES | TETRA BS | TBD | TIPO 5 | TBD | TBD |
| TBD | 2.1/2.2 | EBT_18 | 447+394 | Estacion Base TETRA 18 | Derecha | PK447+394 Derecha | TELECOMUNICACIONES | TETRA BS | TBD | TIPO 5 | TBD | TBD |
| TBD | 2.1/2.2 | EBT_19 | 461+860 | Estacion Base TETRA 19 | Derecha | PK461+860 Derecha | TELECOMUNICACIONES | TETRA BS | TBD | TIPO 5 | TBD | TBD |
| TBD | 2.1/2.2 | EBT_20 | 476+326 | Estacion Base TETRA 20 | Derecha | PK476+326 Derecha | TELECOMUNICACIONES | TETRA BS | TBD | TIPO 5 | TBD | TBD |
| TBD | 2.1/2.2 | EBT_21 | 490+792 | Estacion Base TETRA 21 | Derecha | PK490+792 Derecha | TELECOMUNICACIONES | TETRA BS | TBD | TIPO 5 | TBD | TBD |
| TBD | 2.1/2.2 | EBT_22 | 505+258 | Estacion Base TETRA 22 | Derecha | PK505+258 Derecha | TELECOMUNICACIONES | TETRA BS | TBD | TIPO 5 | TBD | TBD |
| TBD | 2.1/2.2 | EBT_23 | 519+724 | Estacion Base TETRA 23 | Derecha | PK519+724 Derecha | TELECOMUNICACIONES | TETRA BS | TBD | TIPO 5 | TBD | TBD |
| TBD | 2.1/2.2 | EBT_24 | 534+191 | Estacion Base TETRA 24 | Derecha | PK534+191 Derecha | TELECOMUNICACIONES | TETRA BS | TBD | TIPO 5 | TBD | TBD |
| TBD | 2.1/2.2 | EBT_25 | 548+657 | Estacion Base TETRA 25 | Derecha | PK548+657 Derecha | TELECOMUNICACIONES | TETRA BS | TBD | TIPO 5 | TBD | TBD |
| TBD | 2.1/2.2 | EBT_26 | 563+123 | Estacion Base TETRA 26 | Derecha | PK563+123 Derecha | TELECOMUNICACIONES | TETRA BS | TBD | TIPO 5 | TBD | TBD |
| TBD | 2.1/2.2 | EBT_27 | 577+589 | Estacion Base TETRA 27 | Derecha | PK577+589 Derecha | TELECOMUNICACIONES | TETRA BS | TBD | TIPO 5 | TBD | TBD |
| TBD | 2.1/2.2 | EBT_28 | 592+55 | Estacion Base TETRA 28 | Derecha | PK592+55 Derecha | TELECOMUNICACIONES | TETRA BS | TBD | TIPO 5 | TBD | TBD |
| TBD | 2.1/2.2 | EBT_29 | 606+521 | Estacion Base TETRA 29 | Derecha | PK606+521 Derecha | TELECOMUNICACIONES | TETRA BS | TBD | TIPO 5 | TBD | TBD |
| TBD | 2.1/2.2 | EBT_30 | 620+987 | Estacion Base TETRA 30 | Derecha | PK620+987 Derecha | TELECOMUNICACIONES | TETRA BS | TBD | TIPO 5 | TBD | TBD |
| TBD | 2.1/2.2 | EBT_31 | 635+453 | Estacion Base TETRA 31 | Derecha | PK635+453 Derecha | TELECOMUNICACIONES | TETRA BS | TBD | TIPO 5 | TBD | TBD |
| TBD | 2.1/2.2 | EBT_32 | 649+919 | Estacion Base TETRA 32 | Derecha | PK649+919 Derecha | TELECOMUNICACIONES | TETRA BS | TBD | TIPO 5 | TBD | TBD |
| TBD | 2.1/2.2 | EBT_33 | 664+386 | Estacion Base TETRA 33 | Derecha | PK664+386 Derecha | TELECOMUNICACIONES | TETRA BS | TBD | TIPO 5 | TBD | TBD |
| TBD | 2.1/2.2 | EBT_34 | 678+852 | Estacion Base TETRA 34 | Derecha | PK678+852 Derecha | TELECOMUNICACIONES | TETRA BS | TBD | TIPO 5 | TBD | TBD |
| TBD | 2.1/2.2 | EBT_35 | 693+318 | Estacion Base TETRA 35 | Derecha | PK693+318 Derecha | TELECOMUNICACIONES | TETRA BS | TBD | TIPO 5 | TBD | TBD |
| TBD | 2.1/2.2 | EBT_36 | 707+784 | Estacion Base TETRA 36 | Derecha | PK707+784 Derecha | TELECOMUNICACIONES | TETRA BS | TBD | TIPO 5 | TBD | TBD |
| TBD | 2.1/2.2 | EBT_37 | 722+250 | Estacion Base TETRA 37 | Derecha | PK722+250 Derecha | TELECOMUNICACIONES | TETRA BS | TBD | TIPO 5 | TBD | TBD |
