| UFV02 | 2.1 | CCTV_ORE_01 | 327+675 | Cámara Estación | Derecha | PK327+675 Derecha | EQUIPO ITS | CCTV Fija | SWA_ORE_01 | TIPO 2 | TBD | TBD |
| UFV02 | 2.1 | BALIZA_ORE_01 | 327+675 | Baliza Entrada | Centro | PK327+675 Centro | CONTROL | Eurobalise | N/A | TIPO 9 | TBD | TBD |
| UFV02 | 2.1 | BALIZA_330 | 330+000 | Baliza Kilometraje | Centro | PK330+000 Centro | CONTROL | Eurobalise | N/A | TIPO 9 | TBD | TBD |
| UFV02 | 2.1 | EMPALME_FO_10 | 330+000 | Empalme Fibra Óptica | Derecha | PK330+000 Derecha | TELECOMUNICACIONES | Caja Empalme | N/A | N/A | TBD | TBD |
| UFV02 | 2.1 | SEÑAL_PROT_MAG_01 | 332+000 | Señal Protección Puente | Derecha | PK332+000 Derecha | SEÑALIZACION | Señal LED Principal | N/A | TIPO 6 | TBD | TBD |
| UFV02 | 2.1 | BALIZA_PROT_MAG_01 | 332+000 | Baliza Protección | Centro | PK332+000 Centro | CONTROL | Eurobalise | N/A | TIPO 9 | TBD | TBD |
| UFV02 | 2.1 | PUENTE_RIO_MAGDALENA_INICIO | 332+230 | Puente Río Magdalena - Inicio | Centro | PK332+230 Centro | INFRAESTRUCTURA | Puente Prioritario | N/A | N/A | TBD | TBD |
| UFV02 | 2.1 | CCTV_MAG_01 | 332+230 | Cámara Puente Entrada Norte | Derecha | PK332+230 Derecha | EQUIPO ITS | CCTV PTZ | SWA_MAG_01 | TIPO 2 | TBD | TBD |
| UFV02 | 2.1 | CCTV_MAG_02 | 332+280 | Cámara Puente Lateral Este | Derecha | PK332+280 Derecha | EQUIPO ITS | CCTV PTZ | SWA_MAG_01 | TIPO 2 | TBD | TBD |
| UFV02 | 2.1 | BALIZA_MAG_ENTRADA | 332+230 | Baliza Entrada Puente | Centro | PK332+230 Centro | CONTROL | Eurobalise | N/A | TIPO 9 | TBD | TBD |
| UFV02 | 2.1 | DETECTOR_SISMICO_MAG_01 | 332+400 | Detector Sísmico | Centro | PK332+400 Centro | EQUIPO ITS | Detector Sísmico | SWA_MAG_01 | TIPO 4 | TBD | TBD |
| UFV02 | 2.1 | CCTV_MAG_03 | 332+500 | Cámara Puente Centro | Izquierda | PK332+500 Izquierda | EQUIPO ITS | CCTV PTZ | SWA_MAG_01 | TIPO 2 | TBD | TBD |
| UFV02 | 2.1 | DETECTOR_SOCAVACION_MAG | 332+500 | Detector Socavación | Centro | PK332+500 Centro | EQUIPO ITS | Detector Socavación | SWA_MAG_01 | TIPO 4 | TBD | TBD |
| UFV02 | 2.1 | CCTV_MAG_04 | 332+700 | Cámara Puente Lateral Oeste | Derecha | PK332+700 Derecha | EQUIPO ITS | CCTV PTZ | SWA_MAG_01 | TIPO 2 | TBD | TBD |
